epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.3514,1.52035,1.78203,1.45342,0.76002,0.62126,0.71276,0.41161,1.54541,1.18958,1.05614,0.000664011,0.000664011,0.000664011
2,95.7193,1.38569,1.29586,1.35712,0.83934,0.73721,0.8177,0.48875,1.44995,0.98338,1.00334,0.00128676,0.00128676,0.00128676
3,139.114,1.31026,1.15149,1.31507,0.81694,0.67971,0.76472,0.44172,1.62457,0.99345,1.06417,0.00186552,0.00186552,0.00186552
4,182.78,1.2861,1.11697,1.30688,0.8407,0.76526,0.84295,0.50557,1.42193,0.89502,0.99243,0.001802,0.001802,0.001802
5,227.699,1.24999,1.04748,1.28022,0.83775,0.7556,0.83524,0.51678,1.39795,0.82599,0.9973,0.001736,0.001736,0.001736
6,271.869,1.21014,0.99319,1.25871,0.87716,0.78091,0.86729,0.5325,1.3692,0.81057,0.99941,0.00167,0.00167,0.00167
7,317.182,1.18797,0.96214,1.24534,0.88996,0.7959,0.87595,0.55392,1.2977,0.77277,0.96308,0.001604,0.001604,0.001604
8,364.646,1.16895,0.94029,1.23556,0.90306,0.79915,0.87897,0.55425,1.31739,0.70752,0.96464,0.001538,0.001538,0.001538
9,412.465,1.14887,0.90935,1.22506,0.90393,0.80722,0.89097,0.573,1.25786,0.68696,0.95723,0.001472,0.001472,0.001472
10,460.619,1.13186,0.89116,1.21557,0.88337,0.74499,0.84407,0.56144,1.28457,0.77556,0.96378,0.001406,0.001406,0.001406
11,507.96,1.12515,0.87544,1.20897,0.90708,0.803,0.89164,0.58431,1.23205,0.69864,0.94345,0.00134,0.00134,0.00134
12,555.827,1.11184,0.8652,1.2053,0.91437,0.82299,0.89741,0.58378,1.22905,0.69349,0.94552,0.001274,0.001274,0.001274
13,603.92,1.09937,0.84599,1.19567,0.90222,0.82017,0.89375,0.57734,1.28084,0.68313,0.95401,0.001208,0.001208,0.001208
14,650.612,1.07895,0.82306,1.1841,0.90771,0.83172,0.90354,0.59846,1.21021,0.66116,0.94408,0.001142,0.001142,0.001142
15,699.526,1.07909,0.82345,1.18581,0.91111,0.83098,0.90044,0.60281,1.18067,0.66053,0.93617,0.001076,0.001076,0.001076
16,747.857,1.07635,0.81625,1.18185,0.91995,0.84256,0.91117,0.61134,1.18446,0.64928,0.93607,0.00101,0.00101,0.00101
17,795.74,1.06245,0.79763,1.17414,0.91709,0.8494,0.91417,0.61563,1.17631,0.62642,0.93578,0.000944,0.000944,0.000944
18,844.245,1.05492,0.79102,1.17016,0.92041,0.84657,0.91669,0.62566,1.13961,0.61228,0.92388,0.000878,0.000878,0.000878
19,891.692,1.05166,0.78525,1.16689,0.92302,0.85246,0.91909,0.62855,1.13563,0.61855,0.92254,0.000812,0.000812,0.000812
20,939.146,1.03305,0.76485,1.15772,0.92284,0.84847,0.91888,0.63504,1.1243,0.60759,0.91716,0.000746,0.000746,0.000746
21,1013.7,0.98894,0.6783,1.13993,0.91708,0.85757,0.91652,0.62522,1.14526,0.59715,0.92956,0.00068,0.00068,0.00068
22,1061.08,0.97531,0.66316,1.13183,0.91763,0.86048,0.92104,0.63345,1.11169,0.59593,0.91468,0.000614,0.000614,0.000614
23,1107.48,0.96472,0.64663,1.12424,0.92396,0.862,0.9236,0.63422,1.13421,0.58858,0.92177,0.000548,0.000548,0.000548
24,1155.7,0.95516,0.6317,1.11765,0.92824,0.85883,0.92453,0.63825,1.10924,0.58523,0.9117,0.000482,0.000482,0.000482
25,1202.3,0.94509,0.62034,1.11262,0.92958,0.86177,0.92749,0.64413,1.09114,0.56992,0.90829,0.000416,0.000416,0.000416
26,1248.69,0.93321,0.60922,1.10709,0.92808,0.87061,0.92479,0.64604,1.09017,0.56439,0.90859,0.00035,0.00035,0.00035
27,1295.41,0.92254,0.59822,1.10022,0.92306,0.87155,0.92613,0.6477,1.08588,0.56137,0.90959,0.000284,0.000284,0.000284
28,1341.83,0.91665,0.58782,1.09586,0.93272,0.87559,0.93206,0.65472,1.06759,0.55148,0.90414,0.000218,0.000218,0.000218
29,1388.05,0.90134,0.57721,1.08633,0.93535,0.87292,0.93396,0.65338,1.07033,0.54833,0.90279,0.000152,0.000152,0.000152
30,1434.11,0.8917,0.57081,1.08402,0.93566,0.87509,0.93257,0.65769,1.06123,0.54455,0.90177,8.6e-05,8.6e-05,8.6e-05
