epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.9877,1.44031,1.55852,1.44148,0.82138,0.72048,0.81128,0.5013,1.34601,0.89063,1.00988,0.000665072,0.000665072,0.000665072
2,151.289,1.33059,1.17844,1.3598,0.78572,0.71899,0.77885,0.4713,1.39899,0.9553,1.04795,0.00128779,0.00128779,0.00128779
3,225.117,1.29705,1.11773,1.3379,0.83783,0.7589,0.84339,0.5113,1.38071,0.80288,0.99325,0.00186651,0.00186651,0.00186651
4,299.152,1.25259,1.05915,1.31053,0.88423,0.78199,0.86537,0.54426,1.29447,0.74115,0.98676,0.001802,0.001802,0.001802
5,375.423,1.21156,1.00655,1.28741,0.88155,0.79981,0.86884,0.56746,1.21295,0.70971,0.96435,0.001736,0.001736,0.001736
6,451.842,1.17675,0.95481,1.26059,0.90814,0.81358,0.89285,0.59618,1.14932,0.65092,0.95008,0.00167,0.00167,0.00167
7,528.739,1.14442,0.91381,1.24247,0.909,0.82182,0.90148,0.59514,1.1791,0.63092,0.95922,0.001604,0.001604,0.001604
8,604.81,1.13638,0.90026,1.23552,0.9179,0.8432,0.90993,0.61486,1.12981,0.61459,0.9404,0.001538,0.001538,0.001538
9,679.629,1.10914,0.86313,1.22044,0.92333,0.83196,0.91529,0.62641,1.10063,0.57556,0.9317,0.001472,0.001472,0.001472
10,754.595,1.09926,0.844,1.21244,0.90398,0.85058,0.91352,0.62275,1.08972,0.59562,0.93197,0.001406,0.001406,0.001406
11,829.591,1.07532,0.82455,1.2008,0.92939,0.84233,0.91736,0.64062,1.05052,0.56429,0.92606,0.00134,0.00134,0.00134
12,904.38,1.06096,0.80942,1.19335,0.90661,0.86566,0.92303,0.64669,1.04435,0.56437,0.92058,0.001274,0.001274,0.001274
13,979.431,1.05221,0.79843,1.18825,0.92252,0.86495,0.92428,0.64842,1.0418,0.54412,0.92273,0.001208,0.001208,0.001208
14,1053.64,1.03752,0.78111,1.18258,0.92612,0.85553,0.92651,0.64978,1.03556,0.55604,0.91551,0.001142,0.001142,0.001142
15,1127.77,1.02892,0.76618,1.17219,0.92124,0.86008,0.92329,0.65422,0.99998,0.54584,0.91144,0.001076,0.001076,0.001076
16,1202.37,1.0205,0.76142,1.17247,0.93832,0.86406,0.93158,0.66551,0.99245,0.52211,0.90529,0.00101,0.00101,0.00101
17,1276.31,1.01107,0.7482,1.16726,0.9293,0.86213,0.92696,0.66091,1.00074,0.53966,0.90296,0.000944,0.000944,0.000944
18,1353.48,0.99887,0.73023,1.1541,0.93135,0.86974,0.93096,0.66815,0.98357,0.51544,0.90084,0.000878,0.000878,0.000878
19,1429.42,0.98873,0.71444,1.14902,0.94344,0.87367,0.93612,0.67601,0.96754,0.51389,0.89635,0.000812,0.000812,0.000812
20,1506.79,0.98048,0.71017,1.14628,0.93275,0.88122,0.9378,0.67646,0.97377,0.49733,0.8996,0.000746,0.000746,0.000746
21,1605.85,0.9482,0.62892,1.12511,0.93889,0.87273,0.93877,0.67381,0.97243,0.5067,0.89974,0.00068,0.00068,0.00068
22,1680.43,0.93347,0.61741,1.12322,0.92871,0.86354,0.92827,0.66377,0.99701,0.51219,0.9009,0.000614,0.000614,0.000614
23,1756.77,0.92696,0.60251,1.11291,0.94318,0.88019,0.93913,0.67475,0.96873,0.50182,0.89608,0.000548,0.000548,0.000548
24,1833.19,0.91247,0.59211,1.10894,0.94319,0.88428,0.94318,0.68053,0.95941,0.48715,0.8926,0.000482,0.000482,0.000482
25,1909.58,0.9005,0.58053,1.10423,0.93858,0.87882,0.93886,0.68681,0.94918,0.48967,0.89297,0.000416,0.000416,0.000416
26,1986.46,0.8866,0.56569,1.09407,0.94339,0.88757,0.94514,0.6856,0.95085,0.48653,0.89075,0.00035,0.00035,0.00035
27,2063.62,0.87834,0.55446,1.08833,0.95045,0.88599,0.94744,0.69347,0.93989,0.46828,0.88922,0.000284,0.000284,0.000284
28,2139,0.86865,0.54174,1.08329,0.94918,0.88918,0.94876,0.69958,0.93055,0.45953,0.88744,0.000218,0.000218,0.000218
29,2210.5,0.85971,0.53183,1.07819,0.95457,0.88643,0.9502,0.69987,0.93162,0.45905,0.88629,0.000152,0.000152,0.000152
30,2281.23,0.8491,0.52549,1.07372,0.95341,0.88741,0.94846,0.70188,0.9235,0.45367,0.8838,8.6e-05,8.6e-05,8.6e-05
