epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.031,1.30091,1.28801,1.32664,0.88927,0.81546,0.89132,0.58479,1.15002,0.65913,0.94936,0.00333083,0.00333083,0.00333083
2,477.068,1.13082,0.89799,1.19733,0.88736,0.81511,0.88605,0.59223,1.16655,0.65678,0.94912,0.00647567,0.00647567,0.00647567
3,710.025,1.17395,0.92661,1.22564,0.88777,0.80539,0.87829,0.5748,1.16856,0.68582,0.95378,0.00943193,0.00943193,0.00943193
4,946.144,1.18124,0.92258,1.23593,0.89972,0.80774,0.8809,0.59282,1.16315,0.62809,0.95533,0.00915143,0.00915143,0.00915143
5,1186.35,1.13021,0.85844,1.20794,0.89081,0.83007,0.9062,0.6189,1.08504,0.60222,0.92679,0.00886857,0.00886857,0.00886857
6,1423.93,1.09173,0.81277,1.18719,0.93552,0.85152,0.92691,0.65168,1.0215,0.5459,0.91037,0.00858571,0.00858571,0.00858571
7,1661.14,1.06442,0.78111,1.17006,0.93194,0.87202,0.93331,0.66146,1.00799,0.5344,0.90686,0.00830286,0.00830286,0.00830286
8,1892.75,1.04596,0.75773,1.15861,0.92212,0.87619,0.93714,0.67316,0.98107,0.50851,0.90253,0.00802,0.00802,0.00802
9,2122.56,1.03102,0.73973,1.15159,0.94034,0.87509,0.93968,0.67996,0.95876,0.49741,0.89847,0.00773714,0.00773714,0.00773714
10,2358.07,1.01143,0.71925,1.14125,0.94542,0.88381,0.94495,0.68842,0.93905,0.4783,0.8928,0.00745429,0.00745429,0.00745429
11,2591,1.00329,0.70731,1.13498,0.94418,0.88494,0.94301,0.69157,0.93268,0.47955,0.89268,0.00717143,0.00717143,0.00717143
12,2828.33,0.99041,0.69617,1.12844,0.94325,0.8892,0.9489,0.70107,0.92229,0.47054,0.88934,0.00688857,0.00688857,0.00688857
13,3066.59,0.98336,0.68506,1.12376,0.93854,0.9029,0.95179,0.70402,0.9043,0.45866,0.88383,0.00660571,0.00660571,0.00660571
14,3304.95,0.97246,0.67636,1.11942,0.94548,0.90031,0.9528,0.71242,0.89386,0.44769,0.87912,0.00632286,0.00632286,0.00632286
15,3545.64,0.96109,0.66337,1.11434,0.95107,0.89866,0.95382,0.71499,0.88891,0.43675,0.88267,0.00604,0.00604,0.00604
16,3782.27,0.95639,0.65635,1.1099,0.94603,0.90455,0.95374,0.71707,0.88176,0.43332,0.8797,0.00575714,0.00575714,0.00575714
17,4010.18,0.94783,0.6465,1.10581,0.95735,0.90408,0.95607,0.72181,0.86685,0.42841,0.87688,0.00547429,0.00547429,0.00547429
18,4237.44,0.94222,0.64198,1.10155,0.95208,0.90369,0.95628,0.72403,0.87137,0.42828,0.87715,0.00519143,0.00519143,0.00519143
19,4468.06,0.93364,0.63306,1.0994,0.95708,0.90478,0.95906,0.72656,0.85685,0.42137,0.87316,0.00490857,0.00490857,0.00490857
20,4698.93,0.9248,0.62626,1.09378,0.95615,0.90458,0.95897,0.73006,0.85424,0.41784,0.87336,0.00462571,0.00462571,0.00462571
21,4928.86,0.91854,0.61713,1.08885,0.95409,0.90616,0.95956,0.73165,0.85289,0.41612,0.87224,0.00434286,0.00434286,0.00434286
22,5155.8,0.91057,0.60949,1.08547,0.95144,0.91233,0.96079,0.73309,0.84731,0.4123,0.87165,0.00406,0.00406,0.00406
23,5378.8,0.90803,0.60147,1.08307,0.95228,0.9128,0.96005,0.7346,0.84596,0.41073,0.87101,0.00377714,0.00377714,0.00377714
24,5609.79,0.8992,0.59726,1.07863,0.94603,0.91657,0.95853,0.73688,0.83654,0.40711,0.86864,0.00349429,0.00349429,0.00349429
25,5842.24,0.89062,0.58967,1.07361,0.94894,0.91987,0.96131,0.74036,0.83181,0.40492,0.86736,0.00321143,0.00321143,0.00321143
26,6096.65,0.84225,0.50651,1.04776,0.94788,0.91731,0.96067,0.7396,0.83053,0.4058,0.86725,0.00292857,0.00292857,0.00292857
27,6325.93,0.83821,0.49734,1.04639,0.94662,0.91952,0.96067,0.73969,0.8323,0.40427,0.86797,0.00264571,0.00264571,0.00264571
28,6553.69,0.82236,0.4865,1.03818,0.94478,0.92576,0.96173,0.73962,0.83359,0.40415,0.86956,0.00236286,0.00236286,0.00236286
29,6781.71,0.81282,0.47853,1.03216,0.94976,0.92246,0.96173,0.73955,0.83183,0.40258,0.86968,0.00208,0.00208,0.00208
30,7012.14,0.80699,0.47114,1.02919,0.9493,0.92387,0.96143,0.73994,0.8321,0.40089,0.86993,0.00179714,0.00179714,0.00179714
31,7246.14,0.79688,0.46079,1.0229,0.94995,0.92147,0.96202,0.7406,0.83049,0.4,0.86947,0.00151429,0.00151429,0.00151429
32,7470.69,0.78682,0.45404,1.02068,0.95265,0.91822,0.96171,0.74157,0.82943,0.39798,0.86934,0.00123143,0.00123143,0.00123143
33,7692.15,0.77649,0.4447,1.01476,0.94759,0.92034,0.96231,0.74147,0.82846,0.3972,0.86944,0.000948571,0.000948571,0.000948571
34,7910.64,0.77087,0.43892,1.01173,0.94754,0.91957,0.96231,0.74163,0.82763,0.39676,0.86935,0.000665714,0.000665714,0.000665714
35,8127.12,0.76047,0.43348,1.00631,0.94945,0.92066,0.963,0.74191,0.82705,0.39685,0.86925,0.000382857,0.000382857,0.000382857
