epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,372.091,1.24711,1.2041,1.34627,0.91168,0.82654,0.90588,0.63066,1.00843,0.57905,0.9168,0.0033316,0.0033316,0.0033316
2,735.742,1.13458,0.92356,1.24293,0.89639,0.83761,0.90884,0.6168,1.05093,0.5867,0.94001,0.00647641,0.00647641,0.00647641
3,1094.51,1.19794,0.97842,1.28034,0.88781,0.79189,0.87849,0.57302,1.17493,0.68325,0.983,0.00943265,0.00943265,0.00943265
4,1464.15,1.21624,0.9892,1.29878,0.90625,0.82984,0.90482,0.58535,1.13113,0.64195,0.96904,0.00915143,0.00915143,0.00915143
5,1842.52,1.16401,0.9074,1.26992,0.90928,0.84099,0.91069,0.61728,1.07552,0.61438,0.95766,0.00886857,0.00886857,0.00886857
6,2278.36,1.11771,0.85587,1.24573,0.92929,0.85812,0.93031,0.65515,0.99226,0.54581,0.92618,0.00858571,0.00858571,0.00858571
7,2707.33,1.0891,0.82173,1.22717,0.93417,0.85788,0.93058,0.66558,0.96195,0.52297,0.91649,0.00830286,0.00830286,0.00830286
8,3132.68,1.06561,0.79198,1.21378,0.93984,0.87999,0.93968,0.66853,0.95682,0.50605,0.91374,0.00802,0.00802,0.00802
9,3557.76,1.05042,0.76971,1.20513,0.92942,0.87909,0.93789,0.67058,0.95183,0.52264,0.91446,0.00773714,0.00773714,0.00773714
10,3962.31,1.03054,0.74741,1.19655,0.93491,0.89711,0.94805,0.68911,0.9111,0.48003,0.9033,0.00745429,0.00745429,0.00745429
11,4289.18,1.01086,0.72542,1.1836,0.94647,0.896,0.95058,0.70033,0.88161,0.45992,0.89886,0.00717143,0.00717143,0.00717143
12,4617.28,1.00069,0.71444,1.17801,0.94117,0.89559,0.95057,0.70851,0.86671,0.454,0.89133,0.00688857,0.00688857,0.00688857
13,4958.47,0.98738,0.70336,1.17024,0.94751,0.89343,0.95364,0.71277,0.85725,0.44716,0.88773,0.00660571,0.00660571,0.00660571
14,5350.2,0.97934,0.6911,1.16391,0.94729,0.89795,0.95262,0.71584,0.8482,0.44058,0.88661,0.00632286,0.00632286,0.00632286
15,5743.17,0.96642,0.679,1.1578,0.94707,0.90573,0.95358,0.71942,0.83704,0.42911,0.88517,0.00604,0.00604,0.00604
16,6140.89,0.96199,0.67287,1.15421,0.9454,0.90266,0.95567,0.72349,0.82951,0.42809,0.87903,0.00575714,0.00575714,0.00575714
17,6540.35,0.94868,0.65626,1.14626,0.94801,0.91021,0.95732,0.72981,0.81907,0.41659,0.87798,0.00547429,0.00547429,0.00547429
18,6934.7,0.93834,0.64944,1.14146,0.95251,0.90297,0.95824,0.73274,0.8084,0.41299,0.87776,0.00519143,0.00519143,0.00519143
19,7329.86,0.93493,0.64005,1.14055,0.95048,0.9092,0.95956,0.73649,0.80492,0.40508,0.87629,0.00490857,0.00490857,0.00490857
20,7732.62,0.92589,0.63111,1.13387,0.946,0.91658,0.96072,0.73822,0.79513,0.39808,0.87558,0.00462571,0.00462571,0.00462571
21,8133,0.91679,0.61903,1.12853,0.95105,0.90808,0.96052,0.74131,0.7917,0.39491,0.87467,0.00434286,0.00434286,0.00434286
22,8530.29,0.90953,0.61361,1.12214,0.95818,0.90903,0.96194,0.74671,0.7825,0.3887,0.87299,0.00406,0.00406,0.00406
23,8912.31,0.89812,0.60353,1.11783,0.95436,0.91664,0.9633,0.74925,0.77096,0.38417,0.86973,0.00377714,0.00377714,0.00377714
24,9275.05,0.89149,0.59426,1.1155,0.95831,0.9135,0.9631,0.75258,0.76487,0.38131,0.86731,0.00349429,0.00349429,0.00349429
25,9620.89,0.88717,0.5921,1.11304,0.95615,0.91633,0.9636,0.75391,0.76531,0.3829,0.86847,0.00321143,0.00321143,0.00321143
26,9991.87,0.84815,0.50692,1.08404,0.95477,0.92222,0.96506,0.7518,0.77204,0.38056,0.87028,0.00292857,0.00292857,0.00292857
27,10351.2,0.83805,0.49759,1.07999,0.95035,0.92036,0.9652,0.75216,0.77201,0.37984,0.86928,0.00264571,0.00264571,0.00264571
28,10710.8,0.82469,0.49084,1.06948,0.94855,0.91963,0.96554,0.75161,0.77459,0.37953,0.87044,0.00236286,0.00236286,0.00236286
29,11050.4,0.81594,0.48109,1.06645,0.94635,0.92411,0.96485,0.75369,0.77011,0.37809,0.86892,0.00208,0.00208,0.00208
30,11388.1,0.80231,0.47168,1.06074,0.94851,0.92199,0.96564,0.75673,0.75761,0.37459,0.86628,0.00179714,0.00179714,0.00179714
31,11725.6,0.79564,0.46315,1.05633,0.95094,0.92105,0.96516,0.75741,0.75786,0.3707,0.86673,0.00151429,0.00151429,0.00151429
32,12065.2,0.7872,0.45389,1.04851,0.9489,0.9234,0.96555,0.75763,0.75685,0.36997,0.86597,0.00123143,0.00123143,0.00123143
33,12402.4,0.78053,0.44923,1.04719,0.95655,0.91233,0.96386,0.75755,0.75661,0.36878,0.86597,0.000948571,0.000948571,0.000948571
34,12740.1,0.76554,0.43803,1.04022,0.94999,0.92081,0.96615,0.75961,0.75497,0.36713,0.86608,0.000665714,0.000665714,0.000665714
35,13080.6,0.75907,0.43128,1.03791,0.95087,0.9214,0.96603,0.76063,0.75432,0.36571,0.8656,0.000382857,0.000382857,0.000382857
