epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2162.31,1.3992,1.48294,1.3936,0.88474,0.79056,0.86909,0.58069,1.14002,0.68422,0.92972,0.00332969,0.00332969,0.00332969
2,4947.57,1.18932,0.97545,1.22777,0.8967,0.77944,0.86281,0.53534,1.30133,0.74589,1.00746,0.00647456,0.00647456,0.00647456
3,5654.33,1.24963,1.01739,1.26107,0.8697,0.8124,0.88051,0.55722,1.20801,0.76944,0.95195,0.00943085,0.00943085,0.00943085
4,7618.07,1.25312,1.01322,1.27095,0.91304,0.81735,0.89803,0.59849,1.15083,0.64138,0.94608,0.00915143,0.00915143,0.00915143
5,8936.28,1.20519,0.94248,1.24157,0.90352,0.81711,0.89441,0.60136,1.1434,0.617,0.94307,0.00886857,0.00886857,0.00886857
6,10519.1,1.16043,0.88271,1.21634,0.90978,0.84563,0.91352,0.62738,1.06626,0.60839,0.93246,0.00858571,0.00858571,0.00858571
7,11648.6,1.14013,0.85298,1.20594,0.91932,0.85936,0.92318,0.64808,1.03946,0.5571,0.91923,0.00830286,0.00830286,0.00830286
8,13158.6,1.11398,0.83109,1.19525,0.92717,0.85815,0.92618,0.64556,1.03256,0.54885,0.91909,0.00802,0.00802,0.00802
9,14751.3,1.1022,0.8102,1.18238,0.94015,0.87556,0.93628,0.6635,1.00165,0.52303,0.90623,0.00773714,0.00773714,0.00773714
10,16485.3,1.08337,0.79194,1.17939,0.92773,0.86731,0.93287,0.66233,0.99662,0.51395,0.90586,0.00745429,0.00745429,0.00745429
11,17798.8,1.07196,0.7732,1.16534,0.94593,0.87829,0.94306,0.68098,0.95883,0.50034,0.89736,0.00717143,0.00717143,0.00717143
12,18670.3,1.05572,0.75645,1.15494,0.9363,0.88682,0.94258,0.68142,0.95783,0.49419,0.89577,0.00688857,0.00688857,0.00688857
13,19584.4,1.04466,0.74699,1.15703,0.93345,0.89251,0.94596,0.6866,0.94297,0.47975,0.89697,0.00660571,0.00660571,0.00660571
14,20796.4,1.03712,0.73728,1.14909,0.93063,0.90007,0.94957,0.69371,0.92613,0.47494,0.88743,0.00632286,0.00632286,0.00632286
15,22226,1.02496,0.72245,1.14481,0.93989,0.89915,0.94782,0.68802,0.92865,0.47131,0.88877,0.00604,0.00604,0.00604
16,23250.3,1.01093,0.71034,1.13825,0.9484,0.88876,0.95073,0.69768,0.90749,0.45686,0.8842,0.00575714,0.00575714,0.00575714
17,24846.6,1.00723,0.70182,1.12815,0.93917,0.90007,0.95241,0.70569,0.89515,0.45485,0.88353,0.00547429,0.00547429,0.00547429
18,25917.6,0.99883,0.69356,1.12795,0.94984,0.89913,0.95661,0.71083,0.89351,0.44274,0.88103,0.00519143,0.00519143,0.00519143
19,27181.4,0.99079,0.68557,1.12339,0.9479,0.89625,0.95397,0.71219,0.88721,0.44307,0.87991,0.00490857,0.00490857,0.00490857
20,762.892,0.98308,0.67531,1.11868,0.95313,0.89617,0.95254,0.7152,0.87147,0.43627,0.87703,0.00462571,0.00462571,0.00462571
21,2844.27,0.97559,0.66734,1.11411,0.94665,0.90744,0.95485,0.71461,0.87688,0.43579,0.8789,0.00434286,0.00434286,0.00434286
22,3571.39,0.9718,0.6619,1.1103,0.94932,0.90101,0.95759,0.72044,0.86394,0.42522,0.87595,0.00406,0.00406,0.00406
23,5275.93,0.95578,0.65004,1.10723,0.95101,0.91048,0.95675,0.72521,0.8532,0.4218,0.87398,0.00377714,0.00377714,0.00377714
24,7339.02,0.95192,0.64398,1.10272,0.94374,0.91303,0.95947,0.72621,0.85368,0.42077,0.87329,0.00349429,0.00349429,0.00349429
25,8884.44,0.93798,0.62907,1.09716,0.95043,0.90383,0.95687,0.72751,0.84418,0.41432,0.87121,0.00321143,0.00321143,0.00321143
26,10103.1,0.90539,0.56033,1.08003,0.95362,0.90172,0.95906,0.72302,0.85713,0.42252,0.87446,0.00292857,0.00292857,0.00292857
27,10981.8,0.89342,0.54754,1.07317,0.95365,0.90879,0.95883,0.72649,0.85174,0.4199,0.87493,0.00264571,0.00264571,0.00264571
28,12458.4,0.88577,0.53799,1.06602,0.94643,0.91184,0.96094,0.72781,0.84651,0.41655,0.8723,0.00236286,0.00236286,0.00236286
29,13475.3,0.87325,0.52845,1.06244,0.94972,0.91162,0.95989,0.73081,0.84195,0.4108,0.87051,0.00208,0.00208,0.00208
30,18464,0.86751,0.51835,1.05623,0.94739,0.91671,0.96194,0.73317,0.8391,0.40827,0.87154,0.00179714,0.00179714,0.00179714
31,21094.7,0.85838,0.51191,1.05336,0.9499,0.91165,0.96217,0.73302,0.84006,0.40899,0.87207,0.00151429,0.00151429,0.00151429
32,23608.3,0.84662,0.50358,1.04849,0.95069,0.91492,0.962,0.73388,0.83674,0.40905,0.86961,0.00123143,0.00123143,0.00123143
33,25655.8,0.83709,0.49428,1.04305,0.95226,0.91233,0.96069,0.73539,0.83365,0.40297,0.86909,0.000948571,0.000948571,0.000948571
34,27283.1,0.8331,0.49,1.04246,0.95224,0.9161,0.96275,0.73606,0.83137,0.40301,0.8691,0.000665714,0.000665714,0.000665714
35,28481.1,0.82332,0.48164,1.03935,0.95105,0.91539,0.96238,0.73746,0.83111,0.40144,0.8689,0.000382857,0.000382857,0.000382857
