epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.158,1.35828,1.38897,1.3631,0.88741,0.80556,0.87542,0.57267,1.21179,0.68067,0.9504,0.00332969,0.00332969,0.00332969
2,287.004,1.1561,0.93521,1.21042,0.88661,0.79243,0.86923,0.56416,1.21279,0.72243,0.96415,0.00651644,0.00651644,0.00651644
3,429.719,1.21131,0.97917,1.24205,0.89087,0.79401,0.87882,0.57417,1.19165,0.7222,0.96512,0.00955652,0.00955652,0.00955652
4,573.063,1.21927,0.97704,1.25377,0.90306,0.82607,0.89957,0.59088,1.17097,0.65463,0.9547,0.00934,0.00934,0.00934
5,715.336,1.17375,0.9124,1.22966,0.90648,0.83549,0.90577,0.60476,1.11495,0.61887,0.93443,0.00912,0.00912,0.00912
6,857.79,1.12944,0.85356,1.20511,0.89994,0.83243,0.90032,0.62364,1.08673,0.59445,0.9353,0.0089,0.0089,0.0089
7,1000.63,1.10989,0.82738,1.19447,0.91544,0.85835,0.91981,0.63993,1.05755,0.55967,0.93009,0.00868,0.00868,0.00868
8,1141.67,1.08561,0.80542,1.18198,0.92671,0.85364,0.92539,0.64861,1.01537,0.55334,0.91045,0.00846,0.00846,0.00846
9,1284.73,1.07373,0.78204,1.17282,0.92842,0.86165,0.92635,0.65177,1.04525,0.53695,0.91669,0.00824,0.00824,0.00824
10,1428.72,1.05486,0.7654,1.16539,0.94248,0.87268,0.93799,0.66495,0.98873,0.50896,0.9008,0.00802,0.00802,0.00802
11,1570.35,1.04533,0.75244,1.15526,0.92407,0.88027,0.93578,0.67546,0.97715,0.50414,0.90278,0.0078,0.0078,0.0078
12,1713.83,1.03183,0.7355,1.14773,0.93432,0.87273,0.93562,0.67119,0.97469,0.50075,0.9059,0.00758,0.00758,0.00758
13,1855.74,1.0256,0.72493,1.14922,0.9368,0.88384,0.9413,0.67689,0.97369,0.48698,0.90516,0.00736,0.00736,0.00736
14,1997.75,1.01606,0.71668,1.14028,0.93347,0.88955,0.94309,0.6866,0.94538,0.47948,0.89058,0.00714,0.00714,0.00714
15,2138.26,1.00586,0.70425,1.13495,0.94201,0.892,0.94167,0.68891,0.93819,0.48435,0.89103,0.00692,0.00692,0.00692
16,2281.12,0.99517,0.6937,1.12822,0.9458,0.88051,0.94551,0.6989,0.92211,0.46393,0.88898,0.0067,0.0067,0.0067
17,2424.06,0.98505,0.68346,1.12136,0.95426,0.88507,0.94812,0.70426,0.91239,0.45992,0.88496,0.00648,0.00648,0.00648
18,2566.3,0.9806,0.67856,1.12189,0.94797,0.88883,0.95092,0.70487,0.9103,0.4572,0.88566,0.00626,0.00626,0.00626
19,2708.54,0.97116,0.6681,1.11436,0.9453,0.89394,0.95026,0.70895,0.89573,0.45531,0.87937,0.00604,0.00604,0.00604
20,2854.73,0.96803,0.66654,1.11479,0.94411,0.89578,0.95238,0.7104,0.8858,0.44234,0.88278,0.00582,0.00582,0.00582
21,2996.41,0.95726,0.65809,1.10783,0.94372,0.89936,0.95173,0.71276,0.88503,0.43965,0.8803,0.0056,0.0056,0.0056
22,3138.04,0.95346,0.65099,1.1044,0.94952,0.89552,0.9533,0.71384,0.8805,0.44142,0.88049,0.00538,0.00538,0.00538
23,3280.45,0.95055,0.64431,1.10505,0.9563,0.893,0.95346,0.71911,0.88161,0.4317,0.87854,0.00516,0.00516,0.00516
24,3423.05,0.94114,0.63839,1.09951,0.95171,0.90104,0.95834,0.72189,0.86657,0.42847,0.87453,0.00494,0.00494,0.00494
25,3564.9,0.93224,0.63101,1.09472,0.94648,0.90856,0.95715,0.72023,0.87634,0.42692,0.8777,0.00472,0.00472,0.00472
26,3705.81,0.92898,0.62654,1.09278,0.95321,0.90337,0.95749,0.72481,0.8678,0.42174,0.87519,0.0045,0.0045,0.0045
27,3847.4,0.92015,0.61843,1.0882,0.94542,0.91036,0.95678,0.72756,0.86034,0.41858,0.87288,0.00428,0.00428,0.00428
28,3990.12,0.92014,0.61377,1.08861,0.95783,0.90384,0.95768,0.72763,0.8633,0.41678,0.87497,0.00406,0.00406,0.00406
29,4132.46,0.91153,0.609,1.08096,0.95459,0.90665,0.95809,0.72891,0.86081,0.41499,0.87551,0.00384,0.00384,0.00384
30,4275.13,0.9115,0.60547,1.08145,0.95104,0.91555,0.9606,0.73184,0.85279,0.41215,0.87303,0.00362,0.00362,0.00362
31,4418.24,0.90346,0.59763,1.07775,0.96224,0.90101,0.95955,0.73322,0.85291,0.40751,0.87282,0.0034,0.0034,0.0034
32,4560.02,0.8956,0.59072,1.07327,0.95626,0.91115,0.96051,0.73378,0.84753,0.40617,0.8701,0.00318,0.00318,0.00318
33,4702.51,0.89248,0.58891,1.07193,0.95878,0.91209,0.9628,0.73626,0.84171,0.40361,0.87014,0.00296,0.00296,0.00296
34,4847.9,0.88522,0.58016,1.06777,0.95837,0.91159,0.96201,0.73713,0.84086,0.40109,0.87084,0.00274,0.00274,0.00274
35,4991.2,0.87456,0.57277,1.06265,0.95593,0.91421,0.96303,0.73899,0.83921,0.40144,0.86972,0.00252,0.00252,0.00252
36,5159.18,0.8303,0.48995,1.03841,0.95627,0.91216,0.96264,0.73781,0.84227,0.40329,0.87023,0.0023,0.0023,0.0023
37,136.782,0.86998,0.56413,1.0612,0.95512,0.91374,0.96238,0.73878,0.83736,0.40112,0.86895,0.00208,0.00208,0.00208
38,278.192,0.86467,0.55993,1.06016,0.9523,0.9176,0.96291,0.74137,0.83254,0.39781,0.86844,0.00186,0.00186,0.00186
39,419.191,0.86305,0.55774,1.05663,0.95809,0.91048,0.96241,0.74221,0.83213,0.39644,0.86834,0.00164,0.00164,0.00164
40,561.584,0.84877,0.54702,1.05085,0.9598,0.91168,0.96276,0.74422,0.83012,0.3956,0.86773,0.00142,0.00142,0.00142
41,703.763,0.84873,0.54616,1.0521,0.96196,0.91189,0.96364,0.74472,0.83005,0.39385,0.86726,0.0012,0.0012,0.0012
42,845.686,0.83747,0.5327,1.04662,0.96336,0.91081,0.96436,0.74433,0.82918,0.39363,0.86717,0.00098,0.00098,0.00098
43,988.385,0.83671,0.53446,1.04645,0.95541,0.91869,0.96466,0.74384,0.82979,0.39332,0.86723,0.00076,0.00076,0.00076
44,136.784,0.80343,0.50995,1.03213,0.95644,0.91589,0.96448,0.74363,0.83101,0.39286,0.86765,0.00054,0.00054,0.00054
45,276.523,0.79986,0.50538,1.03113,0.96104,0.91327,0.96378,0.74376,0.83233,0.39286,0.86799,0.00032,0.00032,0.00032
