epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.545,1.35828,1.38897,1.3631,0.88741,0.80556,0.87542,0.57267,1.21179,0.68067,0.9504,0.00332969,0.00332969,0.00332969
2,289.846,1.15614,0.93627,1.20977,0.89731,0.79903,0.88074,0.57305,1.18701,0.72597,0.95247,0.00655308,0.00655308,0.00655308
3,432.867,1.21544,0.98238,1.24297,0.88733,0.78516,0.8732,0.55664,1.23877,0.72474,0.96564,0.00966648,0.00966648,0.00966648
4,573.506,1.22275,0.98103,1.25427,0.88577,0.8362,0.8993,0.59092,1.17171,0.65701,0.95512,0.009505,0.009505,0.009505
5,716.477,1.175,0.9168,1.23192,0.89635,0.83078,0.89986,0.61262,1.10535,0.6152,0.93623,0.00934,0.00934,0.00934
6,858.379,1.1339,0.85924,1.20837,0.92223,0.84409,0.91421,0.63506,1.06283,0.58364,0.92004,0.009175,0.009175,0.009175
7,999.864,1.11631,0.83318,1.19612,0.89767,0.85011,0.91236,0.6315,1.06451,0.5602,0.92483,0.00901,0.00901,0.00901
8,1142.15,1.0912,0.80756,1.18389,0.91003,0.85011,0.91598,0.63105,1.04376,0.55402,0.91875,0.008845,0.008845,0.008845
9,1285.07,1.07841,0.78663,1.17186,0.93665,0.87111,0.93329,0.65548,1.03284,0.52905,0.91421,0.00868,0.00868,0.00868
10,1426.09,1.05879,0.76906,1.16591,0.933,0.87792,0.93549,0.66525,0.99287,0.52403,0.90118,0.008515,0.008515,0.008515
11,1569.94,1.05211,0.75802,1.15883,0.92939,0.86967,0.93261,0.66352,0.98699,0.51899,0.90409,0.00835,0.00835,0.00835
12,1715.44,1.03802,0.7423,1.14868,0.93957,0.86943,0.9375,0.67567,0.97465,0.50967,0.89843,0.008185,0.008185,0.008185
13,1856.16,1.03004,0.73183,1.15031,0.94558,0.87231,0.9424,0.68136,0.95128,0.49135,0.89938,0.00802,0.00802,0.00802
14,1997.47,1.02166,0.72823,1.14323,0.93232,0.87768,0.93876,0.68925,0.92878,0.48198,0.88687,0.007855,0.007855,0.007855
15,2139.05,1.00883,0.71021,1.13544,0.94561,0.88758,0.94484,0.68873,0.93874,0.4811,0.89277,0.00769,0.00769,0.00769
16,2281.77,1.00284,0.70216,1.13298,0.94459,0.88385,0.94512,0.69583,0.93585,0.47102,0.89292,0.007525,0.007525,0.007525
17,2425.92,0.99461,0.69634,1.12543,0.93469,0.89725,0.94706,0.69934,0.91417,0.46274,0.89036,0.00736,0.00736,0.00736
