epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.2745,1.52128,1.82934,1.47923,0.65606,0.55565,0.60389,0.3377,1.69993,1.35591,1.12077,0.000663793,0.000663793,0.000663793
2,87.1961,1.38624,1.326,1.38801,0.53822,0.40749,0.40831,0.2037,2.17261,1.796,1.40478,0.00128655,0.00128655,0.00128655
3,128.653,1.31939,1.19512,1.34876,0.56688,0.47466,0.50667,0.27247,1.83958,1.47679,1.22547,0.00186532,0.00186532,0.00186532
4,169.003,1.28009,1.13082,1.32112,0.58167,0.43719,0.48061,0.23404,1.81297,1.54502,1.18117,0.001802,0.001802,0.001802
5,210.109,1.25139,1.08481,1.30711,0.67261,0.55587,0.60221,0.31636,1.82972,1.26689,1.1716,0.001736,0.001736,0.001736
6,252.622,1.21065,1.03195,1.2842,0.63208,0.48588,0.54771,0.2848,1.69097,1.47802,1.12457,0.00167,0.00167,0.00167
7,293.62,1.18362,0.99017,1.26994,0.67836,0.59038,0.63291,0.36012,1.66449,1.21875,1.1106,0.001604,0.001604,0.001604
8,334.862,1.17101,0.97718,1.26759,0.685,0.53948,0.6228,0.3361,1.69152,1.32382,1.12198,0.001538,0.001538,0.001538
9,376.257,1.15522,0.94616,1.24561,0.67042,0.45675,0.53604,0.31882,1.78565,1.45925,1.15328,0.001472,0.001472,0.001472
10,417.6,1.13781,0.93019,1.24194,0.67727,0.54278,0.61034,0.34484,1.66855,1.224,1.10551,0.001406,0.001406,0.001406
11,460.69,1.12884,0.91103,1.23527,0.70229,0.55527,0.6216,0.36073,1.5906,1.33816,1.08498,0.00134,0.00134,0.00134
12,504.808,1.11655,0.89599,1.22482,0.68642,0.50301,0.58595,0.34106,1.69034,1.34587,1.11925,0.001274,0.001274,0.001274
13,549.482,1.10069,0.88461,1.21903,0.70803,0.5522,0.63813,0.36702,1.57873,1.26322,1.06711,0.001208,0.001208,0.001208
14,594.546,1.08758,0.85691,1.21004,0.79104,0.62079,0.71459,0.43455,1.50533,1.04836,1.04496,0.001142,0.001142,0.001142
15,640.209,1.08031,0.84785,1.20488,0.71259,0.55688,0.63875,0.39041,1.52934,1.16736,1.06398,0.001076,0.001076,0.001076
16,685.787,1.07146,0.84001,1.20197,0.68586,0.53927,0.61446,0.37175,1.58541,1.26091,1.07947,0.00101,0.00101,0.00101
17,731.284,1.05343,0.82848,1.19996,0.71102,0.48885,0.58453,0.3658,1.56812,1.30601,1.08281,0.000944,0.000944,0.000944
18,775.698,1.04747,0.80772,1.19113,0.76977,0.57523,0.67305,0.39601,1.53701,1.15966,1.06294,0.000878,0.000878,0.000878
19,820.587,1.03265,0.79937,1.18457,0.7223,0.54938,0.64224,0.38069,1.56601,1.2333,1.06604,0.000812,0.000812,0.000812
20,865.047,1.03745,0.79379,1.1801,0.73993,0.56257,0.65534,0.40541,1.5033,1.10726,1.0524,0.000746,0.000746,0.000746
21,932.977,0.98952,0.69759,1.15899,0.68787,0.49352,0.58408,0.35271,1.5595,1.52645,1.06902,0.00068,0.00068,0.00068
22,976.11,0.98002,0.67585,1.15248,0.68741,0.45015,0.55154,0.33619,1.54974,1.64602,1.07638,0.000614,0.000614,0.000614
23,1020.07,0.96198,0.66362,1.14336,0.71562,0.31699,0.45279,0.26954,1.6569,2.30928,1.11516,0.000548,0.000548,0.000548
24,1063.36,0.9506,0.64594,1.13579,0.65807,0.40372,0.50031,0.28718,1.64071,1.84664,1.09608,0.000482,0.000482,0.000482
25,1107.55,0.94634,0.64179,1.13525,0.69701,0.36224,0.48272,0.29556,1.71582,2.05151,1.14176,0.000416,0.000416,0.000416
26,1151.67,0.93541,0.63205,1.12894,0.67649,0.3976,0.50672,0.29769,1.62337,1.91766,1.09994,0.00035,0.00035,0.00035
27,1195.75,0.93142,0.62477,1.13009,0.69665,0.39458,0.51444,0.30752,1.62751,1.83419,1.09202,0.000284,0.000284,0.000284
28,1240.91,0.91141,0.60539,1.11518,0.6744,0.32123,0.44091,0.25781,1.63799,2.22426,1.11928,0.000218,0.000218,0.000218
29,1287.11,0.90314,0.5983,1.11187,0.70589,0.4282,0.5341,0.32672,1.57153,1.75677,1.08598,0.000152,0.000152,0.000152
30,1331.61,0.89656,0.58775,1.10544,0.71126,0.41685,0.52461,0.31908,1.60154,1.78038,1.09194,8.6e-05,8.6e-05,8.6e-05
